lead_sponsor,2006_overdue,2006_total,2007_overdue,2007_total,2008_overdue,2008_total,2009_overdue,2009_total,2010_overdue,2010_total,2011_overdue,2011_total,2012_overdue,2012_total,2013_overdue,2013_total,2014_overdue,2014_total,lead_sponsor_slug
Cliniques universitaires Saint-Luc- Université Catholique de Louvain,0.0,1.0,,,,,6.0,6.0,2.0,5.0,3.0,3.0,2.0,3.0,8.0,10.0,2.0,2.0,cliniques-universitaires-saint-luc-universite-catholique-de-louvain
Colgate Palmolive,,,1.0,7.0,0.0,19.0,0.0,1.0,0.0,1.0,,,,,0.0,1.0,0.0,3.0,colgate-palmolive
Coloplast A/S,0.0,1.0,1.0,1.0,,,1.0,6.0,1.0,9.0,1.0,5.0,0.0,9.0,0.0,9.0,0.0,2.0,coloplast-a-s
Columbia University,4.0,4.0,1.0,3.0,4.0,13.0,4.0,12.0,3.0,10.0,2.0,10.0,3.0,7.0,8.0,17.0,10.0,16.0,columbia-university
Creighton University,0.0,1.0,3.0,4.0,2.0,4.0,2.0,5.0,1.0,4.0,3.0,5.0,2.0,4.0,4.0,5.0,,,creighton-university
Daiichi Sankyo Inc.,4.0,7.0,2.0,7.0,0.0,8.0,0.0,4.0,0.0,3.0,0.0,4.0,,,1.0,4.0,0.0,1.0,daiichi-sankyo-inc
Dana-Farber Cancer Institute,20.0,20.0,24.0,26.0,1.0,4.0,1.0,6.0,1.0,7.0,1.0,3.0,3.0,10.0,0.0,4.0,2.0,6.0,dana-farber-cancer-institute
Dartmouth-Hitchcock Medical Center,0.0,1.0,3.0,4.0,1.0,6.0,2.0,11.0,3.0,6.0,0.0,1.0,2.0,9.0,8.0,12.0,9.0,10.0,dartmouth-hitchcock-medical-center
Duke University,6.0,8.0,13.0,21.0,6.0,23.0,6.0,27.0,7.0,23.0,11.0,34.0,10.0,26.0,17.0,37.0,22.0,35.0,duke-university
Eastern Cooperative Oncology Group,12.0,14.0,8.0,10.0,0.0,3.0,0.0,6.0,0.0,3.0,0.0,4.0,0.0,3.0,,,0.0,2.0,eastern-cooperative-oncology-group
Eisai Inc.,5.0,13.0,5.0,7.0,5.0,14.0,3.0,16.0,0.0,8.0,3.0,7.0,1.0,7.0,2.0,4.0,1.0,5.0,eisai-inc
Eli Lilly and Company,3.0,5.0,4.0,29.0,8.0,66.0,0.0,42.0,0.0,41.0,0.0,38.0,0.0,29.0,0.0,26.0,0.0,16.0,eli-lilly-and-company
Emory University,8.0,11.0,10.0,12.0,5.0,16.0,4.0,13.0,4.0,16.0,7.0,25.0,5.0,19.0,6.0,21.0,4.0,17.0,emory-university
Endo Pharmaceuticals,1.0,2.0,5.0,5.0,0.0,5.0,0.0,3.0,,,1.0,5.0,1.0,5.0,0.0,4.0,1.0,3.0,endo-pharmaceuticals
Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),3.0,3.0,8.0,11.0,1.0,6.0,3.0,10.0,7.0,9.0,4.0,8.0,0.0,4.0,0.0,3.0,2.0,5.0,eunice-kennedy-shriver-national-institute-of-child-health-and-human-development-nichd
European Organisation for Research and Treatment of Cancer - EORTC,5.0,10.0,5.0,7.0,5.0,7.0,0.0,2.0,1.0,4.0,1.0,3.0,1.0,1.0,2.0,3.0,0.0,1.0,european-organisation-for-research-and-treatment-of-cancer-eortc
Federal University of São Paulo,6.0,8.0,8.0,11.0,7.0,11.0,6.0,11.0,15.0,18.0,11.0,13.0,11.0,15.0,15.0,15.0,7.0,9.0,federal-university-of-sao-paulo
Federico II University,0.0,1.0,2.0,4.0,5.0,7.0,1.0,8.0,4.0,5.0,2.0,5.0,3.0,6.0,6.0,9.0,4.0,4.0,federico-ii-university
Ferring Pharmaceuticals,6.0,7.0,2.0,7.0,1.0,6.0,0.0,8.0,2.0,11.0,0.0,15.0,2.0,8.0,2.0,4.0,1.0,1.0,ferring-pharmaceuticals
Forest Laboratories,4.0,7.0,3.0,11.0,0.0,8.0,0.0,14.0,1.0,11.0,0.0,6.0,4.0,9.0,2.0,11.0,2.0,5.0,forest-laboratories
Fred Hutchinson Cancer Research Center,5.0,5.0,7.0,7.0,1.0,1.0,4.0,6.0,3.0,6.0,2.0,3.0,1.0,8.0,7.0,11.0,3.0,8.0,fred-hutchinson-cancer-research-center
French National Agency for Research on AIDS and Viral Hepatitis,0.0,1.0,2.0,5.0,1.0,6.0,3.0,4.0,5.0,9.0,4.0,7.0,2.0,4.0,1.0,2.0,,,french-national-agency-for-research-on-aids-and-viral-hepatitis
Fudan University,,,4.0,4.0,0.0,1.0,4.0,4.0,3.0,5.0,1.0,2.0,6.0,8.0,1.0,5.0,3.0,6.0,fudan-university
Galderma,,,1.0,2.0,2.0,7.0,1.0,8.0,0.0,6.0,1.0,4.0,1.0,5.0,0.0,5.0,3.0,3.0,galderma
"Galderma Laboratories, L.P.",3.0,3.0,4.0,5.0,0.0,3.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,3.0,5.0,9.0,0.0,1.0,galderma-laboratories-l-p
"Genentech, Inc.",1.0,1.0,0.0,5.0,0.0,12.0,0.0,18.0,0.0,11.0,0.0,6.0,0.0,5.0,1.0,6.0,2.0,6.0,genentech-inc
"Genzyme, a Sanofi Company",11.0,23.0,10.0,16.0,4.0,11.0,0.0,8.0,2.0,4.0,0.0,5.0,0.0,5.0,0.0,4.0,1.0,1.0,genzyme-a-sanofi-company
Gilead Sciences,3.0,7.0,2.0,10.0,2.0,7.0,1.0,8.0,2.0,8.0,0.0,14.0,0.0,10.0,1.0,26.0,0.0,15.0,gilead-sciences
GlaxoSmithKline,64.0,98.0,56.0,125.0,4.0,111.0,10.0,96.0,10.0,74.0,9.0,90.0,9.0,88.0,10.0,75.0,11.0,52.0,glaxosmithkline
Gynecologic Oncology Group,7.0,7.0,10.0,10.0,3.0,3.0,2.0,2.0,7.0,14.0,4.0,7.0,2.0,5.0,3.0,3.0,1.0,1.0,gynecologic-oncology-group
Gynuity Health Projects,,,0.0,3.0,2.0,4.0,2.0,5.0,2.0,4.0,3.0,7.0,3.0,7.0,3.0,4.0,3.0,6.0,gynuity-health-projects
Göteborg University,1.0,2.0,0.0,1.0,3.0,7.0,1.0,5.0,1.0,3.0,1.0,2.0,2.0,4.0,3.0,4.0,1.0,2.0,goteborg-university
H. Lee Moffitt Cancer Center and Research Institute,5.0,5.0,4.0,4.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,4.0,0.0,15.0,2.0,11.0,2.0,4.0,h-lee-moffitt-cancer-center-and-research-institute
H. Lundbeck A/S,2.0,2.0,0.0,2.0,2.0,6.0,3.0,9.0,3.0,7.0,1.0,4.0,1.0,5.0,0.0,4.0,1.0,5.0,h-lundbeck-a-s
Hadassah Medical Organization,0.0,1.0,2.0,2.0,2.0,4.0,5.0,6.0,10.0,10.0,4.0,5.0,7.0,8.0,,,2.0,2.0,hadassah-medical-organization
Hamilton Health Sciences Corporation,0.0,1.0,2.0,5.0,6.0,8.0,3.0,7.0,0.0,3.0,3.0,3.0,0.0,3.0,1.0,1.0,7.0,9.0,hamilton-health-sciences-corporation
Harvard School of Public Health,0.0,1.0,,,0.0,1.0,2.0,3.0,0.0,2.0,1.0,3.0,3.0,6.0,1.0,4.0,11.0,12.0,harvard-school-of-public-health
Heidelberg University,1.0,2.0,1.0,3.0,3.0,5.0,1.0,3.0,3.0,6.0,3.0,8.0,0.0,1.0,2.0,3.0,1.0,1.0,heidelberg-university
Helsinki University Central Hospital,,,2.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,8.0,3.0,3.0,5.0,5.0,2.0,3.0,helsinki-university-central-hospital
Hoffmann-La Roche,20.0,32.0,20.0,37.0,18.0,49.0,14.0,56.0,17.0,85.0,13.0,51.0,7.0,49.0,6.0,42.0,6.0,30.0,hoffmann-la-roche
Hospices Civils de Lyon,1.0,1.0,,,3.0,5.0,5.0,7.0,6.0,8.0,5.0,10.0,9.0,11.0,23.0,27.0,20.0,20.0,hospices-civils-de-lyon
Hospital Clinic of Barcelona,2.0,3.0,2.0,3.0,1.0,5.0,0.0,3.0,4.0,6.0,2.0,6.0,6.0,11.0,1.0,1.0,4.0,8.0,hospital-clinic-of-barcelona
Hospital de Clinicas de Porto Alegre,1.0,2.0,0.0,2.0,4.0,8.0,3.0,8.0,1.0,2.0,6.0,9.0,2.0,6.0,7.0,11.0,2.0,3.0,hospital-de-clinicas-de-porto-alegre
Hvidovre University Hospital,2.0,2.0,1.0,3.0,1.0,1.0,4.0,7.0,4.0,6.0,3.0,5.0,3.0,6.0,6.0,9.0,1.0,4.0,hvidovre-university-hospital
Icahn School of Medicine at Mount Sinai,1.0,1.0,3.0,3.0,1.0,3.0,2.0,4.0,2.0,8.0,3.0,6.0,5.0,8.0,10.0,13.0,8.0,9.0,icahn-school-of-medicine-at-mount-sinai
Imperial College London,1.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,5.0,6.0,3.0,8.0,7.0,11.0,6.0,6.0,7.0,11.0,imperial-college-london
Indiana University,1.0,1.0,4.0,4.0,3.0,11.0,1.0,8.0,4.0,8.0,4.0,16.0,6.0,22.0,4.0,8.0,7.0,15.0,indiana-university
"International Centre for Diarrhoeal Disease Research, Bangladesh",3.0,5.0,1.0,2.0,4.0,9.0,0.0,1.0,3.0,4.0,2.0,3.0,1.0,5.0,6.0,6.0,2.0,2.0,international-centre-for-diarrhoeal-disease-research-bangladesh
Ipsen,0.0,1.0,,,3.0,9.0,2.0,5.0,0.0,2.0,0.0,4.0,1.0,6.0,0.0,6.0,1.0,1.0,ipsen
Isfahan University of Medical Sciences,1.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,7.0,7.0,8.0,8.0,9.0,12.0,7.0,7.0,4.0,5.0,isfahan-university-of-medical-sciences
Janssen Pharmaceutical K.K.,,,1.0,2.0,1.0,8.0,0.0,7.0,0.0,4.0,1.0,4.0,1.0,8.0,4.0,4.0,1.0,1.0,janssen-pharmaceutical-k-k
"Janssen Research & Development, LLC",,,,,,,,,0.0,1.0,0.0,9.0,0.0,10.0,2.0,10.0,1.0,5.0,janssen-research-development-llc
Johns Hopkins Bloomberg School of Public Health,,,2.0,8.0,1.0,5.0,0.0,5.0,2.0,6.0,0.0,2.0,1.0,8.0,4.0,8.0,1.0,4.0,johns-hopkins-bloomberg-school-of-public-health
Johns Hopkins University,4.0,5.0,5.0,10.0,7.0,16.0,12.0,29.0,6.0,15.0,14.0,30.0,11.0,19.0,13.0,23.0,13.0,18.0,johns-hopkins-university
"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",,,0.0,5.0,2.0,20.0,0.0,13.0,1.0,7.0,0.0,12.0,0.0,1.0,,,,,johnson-johnson-pharmaceutical-research-development-l-l-c
"Johnson & Johnson Vision Care, Inc.",0.0,1.0,0.0,5.0,1.0,15.0,0.0,7.0,0.0,20.0,0.0,3.0,0.0,4.0,1.0,8.0,2.0,6.0,johnson-johnson-vision-care-inc
Kaiser Permanente,2.0,2.0,2.0,4.0,0.0,3.0,6.0,8.0,1.0,3.0,5.0,6.0,2.0,7.0,4.0,7.0,1.0,4.0,kaiser-permanente
Karolinska Institutet,,,3.0,6.0,4.0,5.0,4.0,8.0,7.0,14.0,2.0,7.0,7.0,9.0,10.0,18.0,14.0,20.0,karolinska-institutet
"Kyowa Hakko Kirin Company, Limited",3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,5.0,6.0,6.0,7.0,1.0,4.0,4.0,5.0,1.0,1.0,kyowa-hakko-kirin-company-limited
LEO Pharma,,,,,1.0,2.0,4.0,7.0,3.0,3.0,1.0,6.0,0.0,7.0,1.0,4.0,1.0,4.0,leo-pharma
Laval University,0.0,1.0,3.0,5.0,1.0,7.0,2.0,10.0,3.0,7.0,2.0,4.0,8.0,14.0,6.0,12.0,8.0,8.0,laval-university
Lawson Health Research Institute,2.0,2.0,5.0,5.0,7.0,10.0,5.0,6.0,6.0,7.0,5.0,7.0,3.0,6.0,5.0,9.0,9.0,9.0,lawson-health-research-institute
London School of Hygiene and Tropical Medicine,,,0.0,1.0,1.0,6.0,0.0,4.0,1.0,7.0,1.0,4.0,6.0,11.0,4.0,8.0,1.0,2.0,london-school-of-hygiene-and-tropical-medicine
Ludwig-Maximilians - University of Munich,1.0,1.0,3.0,4.0,6.0,9.0,3.0,4.0,,,6.0,7.0,4.0,5.0,2.0,3.0,1.0,2.0,ludwig-maximilians-university-of-munich
M.D. Anderson Cancer Center,18.0,21.0,28.0,34.0,1.0,11.0,1.0,22.0,3.0,18.0,1.0,21.0,8.0,34.0,8.0,21.0,12.0,20.0,m-d-anderson-cancer-center
Maastricht University Medical Center,1.0,1.0,1.0,2.0,9.0,10.0,12.0,24.0,10.0,20.0,9.0,23.0,15.0,29.0,19.0,25.0,10.0,16.0,maastricht-university-medical-center
Mahidol University,0.0,1.0,2.0,2.0,7.0,8.0,12.0,14.0,7.0,9.0,6.0,8.0,6.0,8.0,13.0,15.0,9.0,11.0,mahidol-university
Mansoura University,,,0.0,1.0,5.0,6.0,7.0,8.0,7.0,11.0,6.0,7.0,4.0,7.0,6.0,9.0,5.0,7.0,mansoura-university
Massachusetts General Hospital,12.0,18.0,11.0,25.0,7.0,34.0,8.0,29.0,12.0,40.0,15.0,42.0,11.0,32.0,17.0,41.0,12.0,27.0,massachusetts-general-hospital
Mayo Clinic,22.0,27.0,45.0,52.0,4.0,25.0,6.0,29.0,16.0,41.0,16.0,41.0,16.0,40.0,14.0,28.0,18.0,29.0,mayo-clinic
McGill University Health Center,1.0,1.0,2.0,5.0,3.0,5.0,0.0,2.0,7.0,7.0,2.0,3.0,2.0,3.0,2.0,5.0,2.0,3.0,mcgill-university-health-center
McMaster University,1.0,2.0,0.0,1.0,1.0,3.0,3.0,6.0,3.0,9.0,4.0,10.0,4.0,6.0,5.0,8.0,5.0,7.0,mcmaster-university
MedImmune LLC,1.0,3.0,4.0,8.0,0.0,3.0,0.0,4.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,6.0,1.0,1.0,medimmune-llc
Medical College of Wisconsin,0.0,1.0,2.0,2.0,0.0,1.0,2.0,3.0,3.0,3.0,2.0,6.0,1.0,7.0,4.0,10.0,0.0,2.0,medical-college-of-wisconsin
Medical University of Graz,1.0,1.0,2.0,5.0,,,1.0,5.0,4.0,7.0,7.0,8.0,5.0,6.0,3.0,6.0,6.0,8.0,medical-university-of-graz
Medical University of South Carolina,1.0,1.0,1.0,1.0,7.0,13.0,3.0,6.0,8.0,14.0,4.0,9.0,4.0,13.0,5.0,13.0,11.0,14.0,medical-university-of-south-carolina
Medical University of Vienna,4.0,7.0,6.0,10.0,6.0,10.0,11.0,19.0,11.0,21.0,17.0,22.0,16.0,22.0,20.0,26.0,8.0,11.0,medical-university-of-vienna
Medtronic Cardiac Rhythm and Heart Failure,3.0,4.0,3.0,5.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,6.0,1.0,4.0,1.0,4.0,1.0,3.0,medtronic-cardiac-rhythm-and-heart-failure
Memorial Sloan Kettering Cancer Center,13.0,13.0,10.0,12.0,2.0,13.0,5.0,17.0,1.0,11.0,10.0,16.0,6.0,18.0,5.0,14.0,6.0,18.0,memorial-sloan-kettering-cancer-center
Merck KGaA,3.0,7.0,3.0,11.0,1.0,7.0,0.0,3.0,0.0,10.0,0.0,9.0,0.0,8.0,0.0,3.0,0.0,6.0,merck-kgaa
Merck Sharp & Dohme Corp.,48.0,102.0,30.0,94.0,8.0,102.0,7.0,86.0,10.0,70.0,9.0,45.0,4.0,40.0,6.0,47.0,3.0,26.0,merck-sharp-dohme-corp
Milton S. Hershey Medical Center,,,,,1.0,4.0,0.0,2.0,1.0,7.0,4.0,8.0,1.0,4.0,2.0,6.0,5.0,9.0,milton-s-hershey-medical-center
Mitsubishi Tanabe Pharma Corporation,,,0.0,1.0,2.0,4.0,2.0,7.0,0.0,10.0,0.0,8.0,0.0,4.0,1.0,6.0,9.0,10.0,mitsubishi-tanabe-pharma-corporation
